INFO 2022-11-06 16:32:12 {'user': 'gregory.faupin', 'cart': 4926, 'order': 474, 'produit': 1176, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 3}
INFO 2022-11-06 16:32:12 {'user': 'gregory.faupin', 'cart': 4926, 'order': 474, 'produit': 1176, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:32:25 {'user': 'gregory.faupin', 'cart': 4927, 'order': 474, 'produit': 325, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 2}
INFO 2022-11-06 16:32:25 {'user': 'gregory.faupin', 'cart': 4927, 'order': 474, 'produit': 325, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:32:44 {'user': 'gregory.faupin', 'cart': 4928, 'order': 474, 'produit': 328, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 2}
INFO 2022-11-06 16:32:44 {'user': 'gregory.faupin', 'cart': 4928, 'order': 474, 'produit': 328, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:33:01 {'user': 'gregory.faupin', 'cart': 4929, 'order': 474, 'produit': 337, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 16:33:01 {'user': 'gregory.faupin', 'cart': 4929, 'order': 474, 'produit': 337, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:33:13 {'user': 'gregory.faupin', 'cart': 4930, 'order': 474, 'produit': 353, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 16:33:13 {'user': 'gregory.faupin', 'cart': 4930, 'order': 474, 'produit': 353, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:33:33 {'user': 'gregory.faupin', 'cart': 4931, 'order': 474, 'produit': 351, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 6}
INFO 2022-11-06 16:33:33 {'user': 'gregory.faupin', 'cart': 4931, 'order': 474, 'produit': 351, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:36:22 {'user': 'gregory.faupin', 'cart': 4932, 'order': 356, 'produit': 1176, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
