INFO 2022-11-05 14:43:08 {'user': 'gregory.faupin', 'produit': 484, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 6, 'new_data': 2}
INFO 2022-11-05 14:43:08 {'user': 'gregory.faupin', 'produit': 484, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 4, 'new_data': 0}
INFO 2022-11-05 14:43:28 {'user': 'gregory.faupin', 'produit': 488, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 8, 'new_data': 6}
INFO 2022-11-05 14:43:28 {'user': 'gregory.faupin', 'produit': 488, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 4, 'new_data': 2}
INFO 2022-11-05 14:43:44 {'user': 'gregory.faupin', 'produit': 504, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 9, 'new_data': 7}
INFO 2022-11-05 14:43:44 {'user': 'gregory.faupin', 'produit': 504, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 2, 'new_data': 0}
INFO 2022-11-05 14:44:20 {'user': 'gregory.faupin', 'produit': 848, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 15, 'new_data': 10}
INFO 2022-11-05 14:44:20 {'user': 'gregory.faupin', 'produit': 848, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 5, 'new_data': 0}
INFO 2022-11-05 14:44:30 {'user': 'gregory.faupin', 'produit': 852, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 6, 'new_data': 4}
INFO 2022-11-05 14:44:30 {'user': 'gregory.faupin', 'produit': 852, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 2, 'new_data': 0}
INFO 2022-11-05 14:44:54 {'user': 'gregory.faupin', 'produit': 540, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 8, 'new_data': 7}
INFO 2022-11-05 14:44:54 {'user': 'gregory.faupin', 'produit': 540, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-05 14:45:36 {'user': 'gregory.faupin', 'produit': 1217, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 19, 'new_data': 16}
INFO 2022-11-05 14:45:36 {'user': 'gregory.faupin', 'produit': 1217, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 3, 'new_data': 0}
INFO 2022-11-05 14:46:07 {'user': 'gregory.faupin', 'produit': 568, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 5, 'new_data': 4}
INFO 2022-11-05 14:46:07 {'user': 'gregory.faupin', 'produit': 568, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 4, 'new_data': 3}
INFO 2022-11-05 14:46:25 {'user': 'gregory.faupin', 'produit': 572, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 10, 'new_data': 6}
INFO 2022-11-05 14:46:25 {'user': 'gregory.faupin', 'produit': 572, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 5, 'new_data': 1}
INFO 2022-11-05 14:46:41 {'user': 'gregory.faupin', 'produit': 604, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 5, 'new_data': 4}
INFO 2022-11-05 14:46:41 {'user': 'gregory.faupin', 'produit': 604, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-05 14:46:52 {'user': 'gregory.faupin', 'produit': 624, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 5, 'new_data': 4}
INFO 2022-11-05 14:46:52 {'user': 'gregory.faupin', 'produit': 624, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 3, 'new_data': 2}
INFO 2022-11-05 14:47:01 {'user': 'gregory.faupin', 'produit': 628, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 10, 'new_data': 9}
INFO 2022-11-05 14:47:01 {'user': 'gregory.faupin', 'produit': 628, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 4, 'new_data': 3}
INFO 2022-11-05 14:47:41 {'user': 'gregory.faupin', 'produit': 896, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 13, 'new_data': 12}
INFO 2022-11-05 14:47:41 {'user': 'gregory.faupin', 'produit': 896, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 3, 'new_data': 2}
INFO 2022-11-05 14:48:04 {'user': 'gregory.faupin', 'produit': 900, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 4, 'new_data': 3}
INFO 2022-11-05 14:48:04 {'user': 'gregory.faupin', 'produit': 900, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-05 14:48:38 {'user': 'gregory.faupin', 'produit': 680, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 8, 'new_data': 5}
INFO 2022-11-05 14:48:38 {'user': 'gregory.faupin', 'produit': 680, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 3, 'new_data': 0}
INFO 2022-11-05 14:48:48 {'user': 'gregory.faupin', 'produit': 912, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 10, 'new_data': 5}
INFO 2022-11-05 14:48:48 {'user': 'gregory.faupin', 'produit': 912, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 5, 'new_data': 0}
INFO 2022-11-05 14:49:06 {'user': 'gregory.faupin', 'produit': 916, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 3, 'new_data': 2}
INFO 2022-11-05 14:49:06 {'user': 'gregory.faupin', 'produit': 916, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-05 14:49:16 {'user': 'gregory.faupin', 'produit': 696, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 8, 'new_data': 7}
INFO 2022-11-05 14:49:16 {'user': 'gregory.faupin', 'produit': 696, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-05 14:49:36 {'user': 'gregory.faupin', 'produit': 708, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 10, 'new_data': 8}
INFO 2022-11-05 14:49:36 {'user': 'gregory.faupin', 'produit': 708, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 4, 'new_data': 2}
INFO 2022-11-05 14:49:56 {'user': 'gregory.faupin', 'produit': 720, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 11, 'new_data': 9}
INFO 2022-11-05 14:49:56 {'user': 'gregory.faupin', 'produit': 720, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 2, 'new_data': 0}
INFO 2022-11-05 14:50:12 {'user': 'gregory.faupin', 'produit': 756, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 5, 'new_data': 4}
INFO 2022-11-05 14:50:12 {'user': 'gregory.faupin', 'produit': 756, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-05 14:50:27 {'user': 'gregory.faupin', 'produit': 772, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 5, 'new_data': 2}
INFO 2022-11-05 14:50:27 {'user': 'gregory.faupin', 'produit': 772, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 3, 'new_data': 0}
INFO 2022-11-05 14:50:36 {'user': 'gregory.faupin', 'produit': 780, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 9, 'new_data': 7}
INFO 2022-11-05 14:50:36 {'user': 'gregory.faupin', 'produit': 780, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 2, 'new_data': 0}
